Text Inputs : Specimen label,"pilot1_lamina off"
Notes : Specimen note 1,"superglued in place"

Time,Extension,Load,True stress
(sec),(mm),(N),(MPa)
0.00000,0.00000,-0.00237,0.00034
0.00180,0.00000,-0.00246,0.00035
0.01600,-0.00012,0.00123,-0.00017
0.03200,-0.00185,0.00591,-0.00084
0.04800,-0.00732,0.00053,-0.00007
0.06400,-0.01757,-0.02502,0.00354
0.08000,-0.03238,-0.07007,0.00991
0.09600,-0.05119,-0.12205,0.01727
0.11200,-0.07353,-0.19834,0.02806
0.12800,-0.09720,-0.34787,0.04921
0.14400,-0.11821,-0.54436,0.07701
0.16000,-0.13472,-0.73298,0.10370
0.17600,-0.14752,-0.89049,0.12598
0.19200,-0.15837,-1.02106,0.14445
0.20800,-0.16855,-1.14056,0.16136
0.22400,-0.17852,-1.25752,0.17790
0.24000,-0.18833,-1.37406,0.19439
0.25600,-0.19792,-1.49117,0.21096
0.27200,-0.20732,-1.61037,0.22782
0.28800,-0.21641,-1.73345,0.24523
0.30400,-0.22512,-1.84978,0.26169
0.32000,-0.23374,-1.96443,0.27791
0.33600,-0.24225,-2.08201,0.29454
0.35200,-0.25049,-2.20131,0.31142
0.36800,-0.25851,-2.31793,0.32792
0.38400,-0.26635,-2.43688,0.34475
0.40000,-0.27389,-2.55677,0.36171
0.41600,-0.28112,-2.67512,0.37845
0.43200,-0.28815,-2.79038,0.39476
0.44800,-0.29514,-2.90548,0.41104
0.46400,-0.30206,-3.02570,0.42805
0.48000,-0.30868,-3.14366,0.44474
0.49600,-0.31509,-3.26117,0.46136
0.51200,-0.32132,-3.37828,0.47793
0.52800,-0.32735,-3.49489,0.49443
0.54400,-0.33330,-3.60929,0.51061
0.56000,-0.33924,-3.72400,0.52684
0.57600,-0.34518,-3.83841,0.54302
0.59200,-0.35107,-3.95441,0.55943
0.60800,-0.35686,-4.06664,0.57531
0.62400,-0.36271,-4.18227,0.59167
0.64000,-0.36842,-4.30048,0.60839
0.65600,-0.37394,-4.41601,0.62474
0.67200,-0.37936,-4.53129,0.64105
0.68800,-0.38475,-4.64543,0.65719
0.70400,-0.39005,-4.76242,0.67374
0.72000,-0.39518,-4.87851,0.69017
0.73600,-0.40017,-4.99553,0.70672
0.75200,-0.40497,-5.11388,0.72347
0.76800,-0.40950,-5.23032,0.73994
0.78400,-0.41387,-5.34770,0.75655
0.78680,-0.41467,-5.36902,0.75956
0.80000,-0.41799,-5.45800,0.77215
0.81600,-0.42092,-5.51344,0.77999
0.83200,-0.42300,-5.53580,0.78316
0.84800,-0.42437,-5.53552,0.78312
0.86400,-0.42550,-5.53354,0.78284
0.88000,-0.42652,-5.53047,0.78240
0.89600,-0.42750,-5.53181,0.78259
0.91200,-0.42840,-5.53228,0.78266
0.92800,-0.42926,-5.53466,0.78299
0.94400,-0.43007,-5.53405,0.78291
0.96000,-0.43083,-5.53681,0.78330
0.97600,-0.43153,-5.53677,0.78329
0.99200,-0.43221,-5.53740,0.78338
1.00800,-0.43286,-5.53859,0.78355
1.02400,-0.43344,-5.53954,0.78368
1.04000,-0.43398,-5.53919,0.78364
1.05600,-0.43431,-5.52771,0.78201
1.07200,-0.43432,-5.50100,0.77823
1.08800,-0.43413,-5.46322,0.77289
1.10400,-0.43383,-5.42166,0.76701
1.12000,-0.43349,-5.37870,0.76093
1.13600,-0.43291,-5.32680,0.75359
1.15200,-0.43195,-5.25419,0.74332
1.16800,-0.43078,-5.16907,0.73127
1.18400,-0.42953,-5.08202,0.71896
1.20000,-0.42817,-4.99347,0.70643
1.21600,-0.42659,-4.89678,0.69275
1.23200,-0.42464,-4.78056,0.67631
1.24800,-0.42240,-4.65312,0.65828
1.26400,-0.41996,-4.52049,0.63952
1.28000,-0.41747,-4.38548,0.62042
1.29600,-0.41526,-4.26522,0.60340
1.31200,-0.41332,-4.16761,0.58960
1.32800,-0.41146,-4.07789,0.57690
1.34400,-0.40956,-3.99138,0.56466
1.36000,-0.40767,-3.90376,0.55227
1.37600,-0.40598,-3.82590,0.54125
1.39200,-0.40460,-3.76762,0.53301
1.40800,-0.40343,-3.71947,0.52620
1.42400,-0.40234,-3.67685,0.52017
1.44000,-0.40126,-3.63347,0.51403
1.45600,-0.40036,-3.59677,0.50884
1.47200,-0.39986,-3.57817,0.50621
1.48800,-0.39967,-3.57370,0.50557
1.50400,-0.39957,-3.57392,0.50561
1.52000,-0.39950,-3.57397,0.50561
1.53600,-0.39947,-3.57290,0.50546
1.55200,-0.39946,-3.57377,0.50559
1.56800,-0.39939,-3.57307,0.50549
1.58400,-0.39935,-3.57103,0.50520
1.60000,-0.39934,-3.56982,0.50503
1.61600,-0.39933,-3.56993,0.50504
1.63200,-0.39931,-3.56982,0.50503
1.64800,-0.39930,-3.56923,0.50494
1.66400,-0.39931,-3.56756,0.50471
1.68000,-0.39933,-3.56671,0.50459
1.69600,-0.39935,-3.56629,0.50453
1.71200,-0.39936,-3.56537,0.50440
1.72800,-0.39939,-3.56481,0.50432
1.74400,-0.39940,-3.56508,0.50436
1.76000,-0.39940,-3.56492,0.50433
1.77600,-0.39941,-3.56312,0.50408
1.79200,-0.39946,-3.56310,0.50408
1.80800,-0.39946,-3.56373,0.50416
1.82400,-0.39946,-3.56342,0.50412
1.84000,-0.39948,-3.56054,0.50371
1.85600,-0.39953,-3.56069,0.50373
1.87200,-0.39956,-3.55977,0.50360
1.88800,-0.39960,-3.55845,0.50342
1.90400,-0.39966,-3.55742,0.50327
1.92000,-0.39969,-3.55729,0.50325
1.93600,-0.39972,-3.55727,0.50325
1.95200,-0.39974,-3.55726,0.50325
1.96800,-0.39977,-3.55698,0.50321
1.98400,-0.39979,-3.55644,0.50313
2.00000,-0.39982,-3.55573,0.50303
2.01600,-0.39985,-3.55348,0.50271
2.03200,-0.39992,-3.55392,0.50278
2.04800,-0.39997,-3.55436,0.50284
2.06400,-0.40001,-3.55401,0.50279
2.08000,-0.40005,-3.55268,0.50260
2.09600,-0.40009,-3.55211,0.50252
2.11200,-0.40011,-3.55208,0.50252
2.12800,-0.40013,-3.55092,0.50235
2.14400,-0.40020,-3.55040,0.50228
2.16000,-0.40024,-3.55118,0.50239
2.17600,-0.40028,-3.55102,0.50237
2.19200,-0.40032,-3.55064,0.50231
2.20800,-0.40038,-3.54985,0.50220
2.22400,-0.40042,-3.55024,0.50226
2.24000,-0.40046,-3.55048,0.50229
2.25600,-0.40050,-3.54904,0.50209
2.27200,-0.40054,-3.54899,0.50208
2.28800,-0.40057,-3.54858,0.50202
2.30400,-0.40059,-3.54831,0.50198
2.32000,-0.40062,-3.54741,0.50186
2.33600,-0.40068,-3.54705,0.50181
2.35200,-0.40074,-3.54817,0.50196
2.36800,-0.40077,-3.54824,0.50197
2.38400,-0.40083,-3.54646,0.50172
