Text Inputs : Specimen label,"S1.104M_WoLS"
Notes : Specimen note 1,"Sheep cartilage, Medial, Without LS.

Bone cement hadn't fully hardened causing the bone to sink with compressive forces applied. Aborted test and waited."

Time,Extension,Load,True stress
(sec),(mm),(N),(MPa)
0.00000,-58.45158,0.01282,-0.00187
0.00180,-58.45169,0.01103,-0.00161
0.00280,-58.45173,0.01011,-0.00148
0.00780,-58.45201,0.00759,-0.00111
0.01080,-58.45224,0.00529,-0.00077
0.01280,-58.45242,0.00380,-0.00056
0.01580,-58.45274,0.00286,-0.00042
0.01600,-58.45274,0.00286,-0.00042
0.01680,-58.45287,0.00256,-0.00037
0.01880,-58.45316,0.00168,-0.00025
0.01980,-58.45333,0.00125,-0.00018
0.02180,-58.45369,0.00088,-0.00013
0.02380,-58.45412,0.00121,-0.00018
0.02480,-58.45436,0.00142,-0.00021
0.02580,-58.45463,0.00153,-0.00022
0.02680,-58.45490,0.00153,-0.00022
0.02780,-58.45520,0.00145,-0.00021
0.02880,-58.45552,0.00135,-0.00020
0.02980,-58.45585,0.00132,-0.00019
0.03180,-58.45659,0.00178,-0.00026
0.03200,-58.45659,0.00178,-0.00026
0.03280,-58.45698,0.00234,-0.00034
0.03380,-58.45740,0.00298,-0.00044
0.03480,-58.45784,0.00355,-0.00052
0.03580,-58.45831,0.00394,-0.00058
0.03680,-58.45880,0.00418,-0.00061
0.03780,-58.45932,0.00439,-0.00064
0.03880,-58.45987,0.00471,-0.00069
0.03980,-58.46044,0.00522,-0.00076
0.04080,-58.46103,0.00596,-0.00087
0.04180,-58.46165,0.00690,-0.00101
0.04280,-58.46230,0.00793,-0.00116
0.04380,-58.46297,0.00891,-0.00130
0.04480,-58.46367,0.00974,-0.00142
0.04580,-58.46439,0.01042,-0.00152
0.04680,-58.46514,0.01103,-0.00161
0.04780,-58.46592,0.01172,-0.00171
0.04800,-58.46592,0.01172,-0.00171
0.04880,-58.46672,0.01258,-0.00184
0.04980,-58.46754,0.01364,-0.00199
0.05080,-58.46840,0.01487,-0.00217
0.05180,-58.46929,0.01616,-0.00236
0.05280,-58.47021,0.01737,-0.00254
0.05380,-58.47116,0.01838,-0.00268
0.05480,-58.47214,0.01923,-0.00281
0.05580,-58.47315,0.02004,-0.00293
0.05680,-58.47420,0.02093,-0.00306
0.05780,-58.47528,0.02193,-0.00320
0.05880,-58.47639,0.02294,-0.00335
0.05980,-58.47752,0.02384,-0.00348
0.06080,-58.47869,0.02451,-0.00358
0.06180,-58.47988,0.02494,-0.00364
0.06280,-58.48110,0.02516,-0.00367
0.06380,-58.48235,0.02530,-0.00369
0.06400,-58.48235,0.02530,-0.00369
0.06480,-58.48362,0.02546,-0.00372
0.06580,-58.48492,0.02567,-0.00375
0.06680,-58.48625,0.02591,-0.00378
0.06780,-58.48760,0.02612,-0.00381
0.06880,-58.48897,0.02622,-0.00383
0.06980,-58.49038,0.02615,-0.00382
0.07080,-58.49180,0.02585,-0.00377
0.07180,-58.49325,0.02536,-0.00370
0.07280,-58.49473,0.02479,-0.00362
0.07380,-58.49623,0.02429,-0.00354
0.07480,-58.49776,0.02394,-0.00349
0.07580,-58.49931,0.02369,-0.00346
0.07680,-58.50089,0.02340,-0.00341
0.07780,-58.50249,0.02293,-0.00335
0.07880,-58.50412,0.02223,-0.00324
0.07980,-58.50578,0.02137,-0.00312
0.08000,-58.50578,0.02137,-0.00312
0.08080,-58.50746,0.02044,-0.00298
0.08180,-58.50916,0.01961,-0.00286
0.08280,-58.51089,0.01894,-0.00276
0.08380,-58.51265,0.01842,-0.00269
0.08480,-58.51443,0.01798,-0.00262
0.08580,-58.51624,0.01751,-0.00255
0.08680,-58.51807,0.01694,-0.00247
0.08780,-58.51992,0.01627,-0.00237
0.08880,-58.52181,0.01551,-0.00226
