Text Inputs : Specimen label,"S1.104M_WoLS"
Notes : Specimen note 1,"Sheep, Medial, Without LS. SS316 indenter. 
Issues with PID - had to abort the test."

Time,Extension,Load,True stress
(sec),(mm),(N),(MPa)
0.00000,-60.82162,-0.05329,0.00755
0.00180,-60.82172,-0.05363,0.00760
0.00680,-60.82198,-0.05416,0.00767
0.01180,-60.82224,-0.05484,0.00777
0.01580,-60.82253,-0.05581,0.00791
0.01600,-60.82253,-0.05581,0.00791
0.01780,-60.82271,-0.05638,0.00799
0.02080,-60.82303,-0.05764,0.00817
0.02280,-60.82328,-0.05868,0.00831
0.02480,-60.82358,-0.06005,0.00851
0.02680,-60.82392,-0.06161,0.00873
0.02880,-60.82431,-0.06322,0.00896
0.03080,-60.82476,-0.06496,0.00920
0.03180,-60.82499,-0.06588,0.00933
0.03200,-60.82499,-0.06588,0.00933
0.03380,-60.82552,-0.06788,0.00962
0.03480,-60.82579,-0.06899,0.00977
0.03680,-60.82639,-0.07149,0.01013
0.03780,-60.82671,-0.07291,0.01033
0.03980,-60.82739,-0.07611,0.01078
0.04080,-60.82775,-0.07795,0.01104
0.04180,-60.82813,-0.07999,0.01133
0.04380,-60.82893,-0.08456,0.01198
0.04480,-60.82935,-0.08700,0.01233
0.04680,-60.83025,-0.09215,0.01305
0.04780,-60.83071,-0.09494,0.01345
0.04800,-60.83071,-0.09494,0.01345
0.04880,-60.83120,-0.09790,0.01387
0.04980,-60.83169,-0.10102,0.01431
0.05180,-60.83272,-0.10766,0.01525
0.05280,-60.83325,-0.11118,0.01575
0.05380,-60.83379,-0.11486,0.01627
0.05580,-60.83492,-0.12272,0.01738
0.05680,-60.83550,-0.12683,0.01796
0.05780,-60.83610,-0.13105,0.01856
0.05980,-60.83733,-0.13989,0.01981
0.06080,-60.83796,-0.14454,0.02047
0.06180,-60.83861,-0.14934,0.02115
0.06280,-60.83927,-0.15426,0.02185
0.06400,-60.83994,-0.15929,0.02256
0.06480,-60.84062,-0.16445,0.02329
0.06580,-60.84132,-0.16976,0.02404
0.06680,-60.84203,-0.17522,0.02481
0.06780,-60.84274,-0.18081,0.02561
0.06980,-60.84417,-0.19229,0.02723
0.07080,-60.84491,-0.19819,0.02807
0.07180,-60.84564,-0.20424,0.02892
0.07280,-60.84638,-0.21044,0.02980
0.07480,-60.84788,-0.22313,0.03159
0.07580,-60.84864,-0.22955,0.03250
0.07680,-60.84941,-0.23606,0.03342
0.07880,-60.85096,-0.24947,0.03532
0.07980,-60.85175,-0.25636,0.03630
0.08000,-60.85175,-0.25636,0.03630
0.08080,-60.85254,-0.26332,0.03728
0.08280,-60.85412,-0.27743,0.03928
0.08380,-60.85492,-0.28461,0.04029
0.08480,-60.85571,-0.29188,0.04132
0.08680,-60.85729,-0.30656,0.04340
0.08780,-60.85808,-0.31394,0.04444
0.08880,-60.85888,-0.32138,0.04549
0.09080,-60.86046,-0.33655,0.04764
0.09180,-60.86126,-0.34425,0.04873
0.09380,-60.86284,-0.35971,0.05091
0.09480,-60.86363,-0.36748,0.05201
0.09580,-60.86442,-0.37529,0.05312
0.09600,-60.86442,-0.37529,0.05312
0.09780,-60.86601,-0.39104,0.05534
0.09880,-60.86680,-0.39893,0.05646
0.09980,-60.86759,-0.40682,0.05758
0.10180,-60.86918,-0.42268,0.05982
0.10280,-60.86997,-0.43068,0.06095
0.10480,-60.87156,-0.44673,0.06322
0.10580,-60.87235,-0.45476,0.06435
0.10680,-60.87313,-0.46282,0.06549
0.10880,-60.87469,-0.47916,0.06780
0.10980,-60.87547,-0.48739,0.06896
0.11180,-60.87699,-0.50385,0.07129
0.11200,-60.87699,-0.50385,0.07129
0.11380,-60.87850,-0.52047,0.07364
0.11480,-60.87925,-0.52888,0.07483
0.11680,-60.88073,-0.54574,0.07721
0.11780,-60.88147,-0.55413,0.07839
0.11980,-60.88292,-0.57093,0.08077
0.12080,-60.88364,-0.57938,0.08196
0.12280,-60.88507,-0.59629,0.08435
0.12480,-60.88648,-0.61318,0.08674
0.12580,-60.88718,-0.62165,0.08793
0.12780,-60.88857,-0.63859,0.09033
0.12800,-60.88857,-0.63859,0.09033
0.12980,-60.88994,-0.65533,0.09269
0.13080,-60.89061,-0.66364,0.09387
0.13280,-60.89196,-0.68029,0.09622
0.13480,-60.89329,-0.69691,0.09857
0.13580,-60.89396,-0.70517,0.09973
0.13780,-60.89527,-0.72172,0.10207
0.13980,-60.89657,-0.73834,0.10442
0.14180,-60.89786,-0.75483,0.10674
0.14280,-60.89849,-0.76303,0.10790
0.14400,-60.89913,-0.77124,0.10906
0.14480,-60.89976,-0.77946,0.11022
0.14680,-60.90101,-0.79581,0.11253
0.14880,-60.90225,-0.81196,0.11481
0.15080,-60.90348,-0.82817,0.11710
0.15180,-60.90409,-0.83630,0.11825
0.15380,-60.90529,-0.85247,0.12053
0.15580,-60.90648,-0.86851,0.12279
0.15780,-60.90766,-0.88450,0.12505
0.15980,-60.90883,-0.90032,0.12728
0.16000,-60.90883,-0.90032,0.12728
0.16180,-60.90998,-0.91608,0.12951
0.16380,-60.91113,-0.93187,0.13174
0.16580,-60.91227,-0.94754,0.13395
0.16780,-60.91340,-0.96321,0.13616
0.16980,-60.91451,-0.97894,0.13838
0.17180,-60.91562,-0.99450,0.14057
0.17380,-60.91672,-1.00995,0.14275
0.17580,-60.91781,-1.02535,0.14493
0.17600,-60.91781,-1.02535,0.14493
0.17780,-60.91888,-1.04049,0.14706
0.17980,-60.91997,-1.05554,0.14918
0.18180,-60.92104,-1.07059,0.15131
0.18380,-60.92211,-1.08551,0.15341
0.18580,-60.92318,-1.10044,0.15552
0.18780,-60.92424,-1.11546,0.15764
0.18980,-60.92530,-1.13040,0.15974
0.19180,-60.92634,-1.14536,0.16185
0.19200,-60.92634,-1.14536,0.16185
0.19380,-60.92738,-1.16037,0.16397
0.19580,-60.92841,-1.17520,0.16606
0.19780,-60.92944,-1.18996,0.16814
0.19980,-60.93046,-1.20475,0.17023
0.20180,-60.93148,-1.21949,0.17231
0.20380,-60.93249,-1.23429,0.17439
0.20580,-60.93351,-1.24924,0.17650
0.20780,-60.93451,-1.26417,0.17860
0.20800,-60.93451,-1.26417,0.17860
0.21080,-60.93600,-1.28667,0.18178
0.21280,-60.93699,-1.30169,0.18389
0.21480,-60.93797,-1.31660,0.18600
0.21680,-60.93895,-1.33149,0.18810
0.21880,-60.93991,-1.34626,0.19018
0.22080,-60.94087,-1.36097,0.19225
0.22380,-60.94232,-1.38337,0.19541
0.22400,-60.94232,-1.38337,0.19541
0.22580,-60.94327,-1.39826,0.19751
0.22780,-60.94422,-1.41319,0.19961
0.22980,-60.94517,-1.42824,0.20173
0.23280,-60.94658,-1.45063,0.20488
0.23480,-60.94751,-1.46559,0.20699
0.23680,-60.94843,-1.48046,0.20909
0.23980,-60.94982,-1.50236,0.21217
0.24000,-60.94982,-1.50236,0.21217
0.24180,-60.95073,-1.51690,0.21422
0.24380,-60.95164,-1.53139,0.21626
0.24580,-60.95256,-1.54594,0.21831
0.24780,-60.95347,-1.56054,0.22037
0.25080,-60.95484,-1.58242,0.22345
0.25280,-60.95575,-1.59731,0.22555
0.25480,-60.95665,-1.61234,0.22767
0.25600,-60.95709,-1.61985,0.22872
0.25780,-60.95799,-1.63497,0.23085
0.26080,-60.95930,-1.65780,0.23407
0.26280,-60.96018,-1.67292,0.23620
0.26580,-60.96145,-1.69569,0.23941
0.26780,-60.96230,-1.71060,0.24151
0.27080,-60.96358,-1.73280,0.24463
0.27200,-60.96401,-1.74021,0.24567
0.27280,-60.96442,-1.74757,0.24671
0.27580,-60.96568,-1.76944,0.24979
0.27780,-60.96652,-1.78398,0.25184
0.27980,-60.96736,-1.79845,0.25388
0.28280,-60.96861,-1.82042,0.25697
0.28480,-60.96945,-1.83523,0.25905
0.28780,-60.97069,-1.85741,0.26218
0.28800,-60.97069,-1.85741,0.26218
0.28980,-60.97152,-1.87226,0.26427
0.29280,-60.97275,-1.89431,0.26737
0.29580,-60.97396,-1.91630,0.27047
0.29780,-60.97478,-1.93078,0.27250
0.30080,-60.97600,-1.95252,0.27556
0.30280,-60.97680,-1.96699,0.27760
0.30400,-60.97720,-1.97415,0.27861
0.30580,-60.97800,-1.98846,0.28062
0.30780,-60.97880,-2.00278,0.28264
0.31080,-60.98000,-2.02410,0.28564
0.31280,-60.98080,-2.03843,0.28765
0.31580,-60.98200,-2.05988,0.29067
0.31880,-60.98320,-2.08157,0.29372
0.32000,-60.98359,-2.08887,0.29475
0.32080,-60.98399,-2.09615,0.29577
0.32380,-60.98516,-2.11788,0.29883
0.32680,-60.98633,-2.13955,0.30188
0.32880,-60.98710,-2.15389,0.30390
0.33180,-60.98826,-2.17548,0.30693
0.33380,-60.98904,-2.18965,0.30893
0.33600,-60.98981,-2.20375,0.31091
0.33680,-60.99020,-2.21082,0.31190
0.33880,-60.99097,-2.22493,0.31389
0.34180,-60.99213,-2.24621,0.31688
0.34480,-60.99329,-2.26792,0.31993
0.34680,-60.99407,-2.28247,0.32198
0.34980,-60.99522,-2.30441,0.32507
0.35200,-60.99599,-2.31881,0.32709
0.35280,-60.99637,-2.32597,0.32810
0.35580,-60.99751,-2.34754,0.33113
0.35780,-60.99827,-2.36188,0.33315
0.36080,-60.99941,-2.38326,0.33615
0.36280,-61.00017,-2.39738,0.33814
0.36580,-61.00131,-2.41848,0.34110
0.36780,-61.00207,-2.43275,0.34311
0.36800,-61.00207,-2.43275,0.34311
0.37080,-61.00321,-2.45411,0.34611
0.37380,-61.00435,-2.47570,0.34915
0.37580,-61.00511,-2.49006,0.35117
0.37880,-61.00626,-2.51177,0.35422
0.38180,-61.00740,-2.53369,0.35730
0.38400,-61.00816,-2.54835,0.35936
0.38480,-61.00854,-2.55574,0.36040
0.38680,-61.00930,-2.57050,0.36247
0.38980,-61.01044,-2.59270,0.36559
0.39280,-61.01157,-2.61521,0.36875
0.39580,-61.01267,-2.63741,0.37187
0.39880,-61.01378,-2.65950,0.37498
0.40000,-61.01414,-2.66684,0.37601
0.40180,-61.01488,-2.68156,0.37808
0.40480,-61.01598,-2.70366,0.38118
0.40780,-61.01706,-2.72572,0.38428
0.41080,-61.01814,-2.74783,0.38739
0.41380,-61.01920,-2.76971,0.39046
0.41580,-61.01991,-2.78425,0.39251
