Text Inputs : Specimen label,"S1.104M_LS_CONDYLE"
Notes : Specimen note 1,"Sheep, LS.

Tried testing on the condyle to verify that chipping the bone and gluing it back together does not effect the mechanical properties. Angle of the plane caused it to slip off and test to be void."

Time,Extension,Load,True stress
(sec),(mm),(N),(MPa)
0.00000,-63.05895,-0.04903,0.00749
0.00180,-63.05906,-0.04957,0.00757
0.00980,-63.05947,-0.05084,0.00777
0.01380,-63.05971,-0.05173,0.00790
0.01600,-63.05987,-0.05224,0.00798
0.01780,-63.06005,-0.05283,0.00807
0.01980,-63.06026,-0.05362,0.00819
0.02280,-63.06062,-0.05503,0.00841
0.02480,-63.06090,-0.05612,0.00857
0.02680,-63.06121,-0.05733,0.00876
0.02880,-63.06158,-0.05871,0.00897
0.03080,-63.06200,-0.06037,0.00922
0.03180,-63.06223,-0.06131,0.00937
0.03200,-63.06223,-0.06131,0.00937
0.03380,-63.06272,-0.06341,0.00969
0.03580,-63.06326,-0.06604,0.01009
0.03680,-63.06356,-0.06760,0.01033
0.03880,-63.06417,-0.07105,0.01085
0.03980,-63.06451,-0.07290,0.01114
0.04180,-63.06520,-0.07701,0.01176
0.04280,-63.06557,-0.07929,0.01211
0.04480,-63.06634,-0.08417,0.01286
0.04580,-63.06675,-0.08675,0.01325
0.04680,-63.06717,-0.08947,0.01367
0.04800,-63.06760,-0.09236,0.01411
0.04880,-63.06804,-0.09541,0.01457
0.04980,-63.06851,-0.09858,0.01506
0.05180,-63.06947,-0.10520,0.01607
0.05280,-63.06997,-0.10869,0.01660
0.05380,-63.07048,-0.11234,0.01716
0.05580,-63.07155,-0.12006,0.01834
0.05680,-63.07210,-0.12408,0.01895
0.05780,-63.07266,-0.12819,0.01958
0.05880,-63.07324,-0.13243,0.02023
0.06080,-63.07443,-0.14135,0.02159
0.06180,-63.07504,-0.14600,0.02230
0.06280,-63.07567,-0.15074,0.02302
0.06400,-63.07632,-0.15557,0.02376
0.06480,-63.07697,-0.16052,0.02451
0.06580,-63.07763,-0.16562,0.02529
0.06680,-63.07831,-0.17086,0.02609
0.06780,-63.07900,-0.17623,0.02691
0.06980,-63.08040,-0.18719,0.02858
0.07080,-63.08111,-0.19280,0.02944
0.07180,-63.08183,-0.19855,0.03032
0.07280,-63.08255,-0.20444,0.03122
0.07480,-63.08401,-0.21649,0.03306
0.07580,-63.08475,-0.22260,0.03399
0.07680,-63.08550,-0.22880,0.03493
0.07780,-63.08626,-0.23512,0.03590
0.07980,-63.08778,-0.24809,0.03788
0.08000,-63.08778,-0.24809,0.03788
0.08080,-63.08856,-0.25469,0.03888
0.08180,-63.08934,-0.26133,0.03990
0.08280,-63.09012,-0.26804,0.04092
0.08480,-63.09171,-0.28166,0.04300
0.08580,-63.09251,-0.28853,0.04404
0.08680,-63.09331,-0.29541,0.04509
0.08880,-63.09491,-0.30916,0.04719
0.08980,-63.09571,-0.31610,0.04825
0.09080,-63.09650,-0.32308,0.04931
0.09180,-63.09730,-0.33009,0.05038
0.09380,-63.09890,-0.34411,0.05252
0.09480,-63.09970,-0.35116,0.05359
0.09580,-63.10050,-0.35831,0.05468
0.09600,-63.10050,-0.35831,0.05468
0.09680,-63.10130,-0.36554,0.05579
0.09880,-63.10290,-0.38006,0.05800
0.09980,-63.10370,-0.38729,0.05910
0.10080,-63.10449,-0.39454,0.06021
0.10280,-63.10609,-0.40917,0.06244
0.10380,-63.10689,-0.41655,0.06356
0.10480,-63.10769,-0.42394,0.06469
0.10580,-63.10848,-0.43130,0.06581
0.10780,-63.11008,-0.44605,0.06806
0.10880,-63.11088,-0.45344,0.06918
0.10980,-63.11168,-0.46081,0.07031
0.11080,-63.11248,-0.46815,0.07142
0.11200,-63.11328,-0.47545,0.07254
0.11280,-63.11408,-0.48274,0.07365
0.11380,-63.11488,-0.49007,0.07476
0.11480,-63.11568,-0.49743,0.07589
0.11580,-63.11648,-0.50480,0.07701
0.11780,-63.11807,-0.51945,0.07924
0.11880,-63.11887,-0.52676,0.08035
0.11980,-63.11967,-0.53412,0.08147
0.12080,-63.12047,-0.54153,0.08260
0.12280,-63.12206,-0.55643,0.08487
0.12380,-63.12286,-0.56387,0.08600
0.12480,-63.12366,-0.57131,0.08714
0.12680,-63.12525,-0.58631,0.08942
0.12780,-63.12605,-0.59384,0.09057
0.12800,-63.12605,-0.59384,0.09057
0.12880,-63.12685,-0.60133,0.09171
0.13080,-63.12845,-0.61625,0.09398
0.13180,-63.12925,-0.62369,0.09511
0.13280,-63.13005,-0.63112,0.09624
0.13380,-63.13085,-0.63853,0.09737
0.13580,-63.13245,-0.65322,0.09961
0.13680,-63.13325,-0.66055,0.10072
0.13780,-63.13404,-0.66791,0.10184
0.13980,-63.13564,-0.68264,0.10408
0.14080,-63.13644,-0.68993,0.10519
0.14180,-63.13724,-0.69715,0.10629
0.14280,-63.13803,-0.70434,0.10738
0.14400,-63.13883,-0.71152,0.10848
0.14480,-63.13963,-0.71870,0.10957
0.14580,-63.14043,-0.72584,0.11066
0.14680,-63.14123,-0.73292,0.11173
0.14780,-63.14203,-0.73993,0.11280
0.14980,-63.14363,-0.75383,0.11491
0.15080,-63.14443,-0.76077,0.11597
0.15180,-63.14523,-0.76769,0.11702
0.15280,-63.14603,-0.77460,0.11807
0.15380,-63.14682,-0.78150,0.11912
0.15580,-63.14842,-0.79542,0.12124
0.15680,-63.14922,-0.80246,0.12231
0.15780,-63.15002,-0.80951,0.12338
0.15880,-63.15081,-0.81657,0.12445
0.16000,-63.15161,-0.82361,0.12552
0.16080,-63.15241,-0.83068,0.12660
0.16180,-63.15321,-0.83779,0.12768
0.16280,-63.15401,-0.84496,0.12877
0.16380,-63.15480,-0.85215,0.12986
0.16580,-63.15640,-0.86653,0.13205
0.16680,-63.15720,-0.87373,0.13314
0.16780,-63.15800,-0.88095,0.13424
0.16980,-63.15960,-0.89543,0.13644
0.17080,-63.16040,-0.90265,0.13754
0.17180,-63.16120,-0.90985,0.13863
0.17280,-63.16200,-0.91706,0.13973
0.17480,-63.16359,-0.93154,0.14193
0.17580,-63.16439,-0.93879,0.14303
0.17600,-63.16439,-0.93879,0.14303
0.17680,-63.16519,-0.94603,0.14413
0.17780,-63.16599,-0.95325,0.14522
0.17980,-63.16758,-0.96774,0.14743
0.18080,-63.16838,-0.97504,0.14853
0.18180,-63.16918,-0.98235,0.14964
0.18380,-63.17078,-0.99694,0.15186
0.18480,-63.17158,-1.00424,0.15297
0.18580,-63.17238,-1.01156,0.15408
0.18680,-63.17318,-1.01891,0.15520
0.18880,-63.17478,-1.03356,0.15742
0.18980,-63.17557,-1.04082,0.15852
0.19080,-63.17637,-1.04806,0.15962
0.19200,-63.17717,-1.05530,0.16072
0.19280,-63.17797,-1.06254,0.16182
0.19380,-63.17877,-1.06974,0.16291
0.19480,-63.17957,-1.07691,0.16400
0.19580,-63.18036,-1.08404,0.16508
0.19780,-63.18196,-1.09828,0.16725
0.19880,-63.18276,-1.10539,0.16833
0.19980,-63.18356,-1.11248,0.16940
0.20080,-63.18435,-1.11952,0.17047
0.20180,-63.18515,-1.12650,0.17153
0.20380,-63.18675,-1.14043,0.17364
0.20480,-63.18755,-1.14740,0.17470
0.20580,-63.18835,-1.15437,0.17576
0.20680,-63.18915,-1.16130,0.17681
0.20800,-63.18995,-1.16819,0.17785
0.20880,-63.19075,-1.17505,0.17889
0.20980,-63.19155,-1.18189,0.17993
0.21080,-63.19234,-1.18873,0.18097
0.21180,-63.19314,-1.19553,0.18200
0.21280,-63.19394,-1.20230,0.18303
0.21480,-63.19554,-1.21570,0.18506
0.21580,-63.19634,-1.22239,0.18607
0.21680,-63.19713,-1.22910,0.18709
0.21780,-63.19793,-1.23580,0.18811
0.21880,-63.19873,-1.24248,0.18912
0.22080,-63.20033,-1.25574,0.19113
0.22180,-63.20113,-1.26238,0.19213
0.22280,-63.20193,-1.26905,0.19315
0.22380,-63.20274,-1.27572,0.19416
0.22400,-63.20274,-1.27572,0.19416
0.22480,-63.20355,-1.28237,0.19516
0.22580,-63.20435,-1.28900,0.19617
